,No. Pesanan,Status Pesanan,Nama Produk,Nama Variasi,Harga Setelah Diskon,Jumlah,Potongan Koin Shopee,Ongkos Kirim Dibayar oleh Pembeli,Total Pembayaran,Username (Pembeli),Kota/Kabupaten,Waktu Pembayaran,Pesanan Dibuat
3954,20071392S7PDD3,Selesai,Painting set,30x30,Rp 130.000,1,0.0,Rp 3.000,Rp 133.000,felicianatalie_,KOTA MALANG,2020-07-13 11:04,2020-07-13 11:03
3955,20071399DB0RT7,Selesai,50-100pcs pompom,"50pcs,2cm",Rp 14.000,1,0.0,Rp 26.000,Rp 677.005,diamantaelmira,KOTA JAKARTA SELATAN,2020-07-13 13:03,2020-07-13 13:02
3956,,,Sensory Rice Ocean,,Rp 62.500,1,,,,,,,
3957,,,Instant snow,,Rp 6.000,5,,,,,,,
3958,,,Coding and,,Rp 48.000,1,,,,,,,
3959,,,Animal play,Aquamarine,Rp 61.000,1,,,,,,,
3960,,,Animal play,Animal forest,Rp 62.000,1,,,,,,,
3961,,,Kanvas lukis,,Rp 17.000,3,,,,,,,
3962,,,Giant waterbeads,"Standar,50 gram",Rp 11.000,5,,,,,,,
3963,,,Giant waterbeads,"Jumbo/giant,25 gram",Rp 12.500,3,,,,,,,
3964,,,Sensory Rice 200 gram,1 paket @50gr,Rp 30.000,4,,,,,,,
3965,,,Meet the,Set 1&2,Rp 100.000,1,,,,,,,
3966,2007139EXJRSJG,Selesai,Instant snow,,Rp 6.000,3,0.0,Rp 0,Rp 78.500,jesi.,KOTA PALEMBANG,2020-07-13 14:41,2020-07-13 14:41
3967,,,Animal play,Fish,Rp 49.500,1,,,,,,,
3968,,,Giant waterbeads,"Standar,50 gram",Rp 11.000,1,,,,,,,
3969,2007139J1VJN1C,Selesai,Deli washable,,Rp 59.500,1,0.0,Rp 0,Rp 59.500,yulia0807,KOTA JAKARTA BARAT,2020-07-13 15:37,2020-07-13 15:37
3970,2007139M9FBEEX,Selesai,Giant waterbeads,"Standar,25 gram",Rp 6.500,1,0.0,Rp 17.000,Rp 48.500,vennynat,KOTA JAKARTA UTARA,2020-07-13 16:17,2020-07-13 16:17
3971,,,Giant waterbeads,"Jumbo/giant,25 gram",Rp 12.500,2,,,,,,,
3972,2007139MTS6445,Selesai,50-100pcs pompom,"100pcs,2cm",Rp 27.500,1,3709.0,Rp 0,Rp 91.791,sylwiyogo,KOTA TANGERANG SELATAN,2020-07-13 16:26,2020-07-13 16:26
3973,,,Instant snow,,Rp 6.000,5,,,,,,,
3974,,,Sponge brush,Roller,Rp 38.000,1,,,,,,,
3975,2007139XNRJF7X,Selesai,Wooden counters,,Rp 45.000,1,0.0,Rp 37.000,Rp 368.400,karinamecca,KOTA JAKARTA SELATAN,2020-07-13 19:24,2020-07-13 19:23
3976,,,Painting set,20x20,Rp 110.700,2,,,,,,,
3977,,,Wipe and,,Rp 65.000,1,,,,,,,
3978,200713A6CKJNEX,Selesai,Painting set,30x30,Rp 131.200,1,0.0,Rp 0,Rp 131.200,trikarim_72,KOTA JAKARTA PUSAT,2020-07-13 21:41,2020-07-13 21:41
3979,200714BA48AXNG,Selesai,Sensory Rice Ocean,,Rp 62.500,1,0.0,Rp 20.000,Rp 231.420,debbyhermi,KAB. BEKASI,2020-07-14 08:28,2020-07-14 08:20
3980,,,Instant snow,,Rp 6.000,5,,,,,,,
3981,,,Kanvas lukis,,Rp 13.500,2,,,,,,,
3982,,,Die cast,C,Rp 35.000,1,,,,,,,
3983,,,Meet the,Set 1,Rp 53.500,1,,,,,,,
3984,200714BG6XHUMQ,Selesai,Giant waterbeads,"Jumbo/giant,25 gram",Rp 12.500,1,0.0,Rp 10.000,Rp 70.500,dita.trijogo,KOTA TANGERANG SELATAN,2020-07-14 10:35,2020-07-14 10:09
3985,,,Sensory Rice 200 gram,Red,Rp 12.000,1,,,,,,,
3986,,,Sensory Rice 200 gram,Blue,Rp 12.000,1,,,,,,,
3987,,,Sensory Rice 200 gram,Green,Rp 12.000,1,,,,,,,
3988,,,Sensory Rice 200 gram,Yellow,Rp 12.000,1,,,,,,,
3989,200714BQK76B17,Batal,Boneka talking,Biru,Rp 82.500,1,2229.0,Rp 0,Rp 117.271,astrisuhaimi,KOTA JAKARTA BARAT,-,2020-07-14 12:21
3990,,,Busy jar,,Rp 37.000,1,,,,,,,
3991,200714BR2A297B,Selesai,Instant snow,,Rp 6.000,5,0.0,Rp 17.000,Rp 219.500,jessicasartika,KOTA JAKARTA UTARA,2020-07-14 12:44,2020-07-14 12:30
3992,,,Giant waterbeads,"Standar,50 gram",Rp 11.000,10,,,,,,,
3993,,,Giant waterbeads,"Jumbo/giant,25 gram",Rp 12.500,5,,,,,,,
3994,200714BVHDD1YB,Selesai,Boneka talking,Biru,Rp 82.500,1,2755.0,Rp 0,Rp 116.745,astrisuhaimi,KOTA JAKARTA BARAT,2020-07-14 13:50,2020-07-14 13:50
3995,,,Busy jar,,Rp 37.000,1,,,,,,,
3996,200714BWQH34T2,Selesai,Giant waterbeads,"Jumbo/giant,25 gram",Rp 13.000,2,0.0,Rp 17.000,Rp 43.000,mariaruthfernanda,KOTA JAKARTA UTARA,2020-07-14 14:12,2020-07-14 14:11
3997,200714CG6YM4WJ,Selesai,Giant waterbeads,"Standar,10 gram",Rp 3.500,4,0.0,Rp 0,Rp 66.000,catherine.ferlanico,KOTA JAKARTA UTARA,2020-07-14 19:42,2020-07-14 19:42
3998,,,Giant waterbeads,"Jumbo/giant,25 gram",Rp 13.000,4,,,,,,,
3999,200714CJJVMKE8,Batal,Cat lukis,"Merah,20ml",Rp 5.900,1,0.0,Rp 10.000,Rp 152.400,qoryibulaila,KOTA JAKARTA BARAT,-,2020-07-14 20:24
4000,,,Cat lukis,"Pink,20ml",Rp 5.500,1,,,,,,,
4001,,,Cat lukis,"Orange,20ml",Rp 5.800,1,,,,,,,
4002,,,Cat lukis,"Kuning,20ml",Rp 5.600,1,,,,,,,
4003,,,Cat lukis,"Biru muda,20ml",Rp 5.600,1,,,,,,,
4004,,,Cat lukis,"Hijau,20ml",Rp 5.800,1,,,,,,,
4005,,,Cat lukis,"Hitam,20ml",Rp 5.600,1,,,,,,,
4006,,,Cat lukis,"Coklat,20ml",Rp 5.600,1,,,,,,,
4007,,,Giant waterbeads,"Standar,25 gram",Rp 6.500,2,,,,,,,
4008,,,Giant waterbeads,"Jumbo/giant,25 gram",Rp 13.000,2,,,,,,,
4009,,,Sponge brush,Roller,Rp 38.000,1,,,,,,,
4010,,,Sponge brush,Flower,Rp 20.000,1,,,,,,,
4011,200714CJUUYKSY,Selesai,Cat lukis,"Merah,20ml",Rp 5.900,1,0.0,Rp 0,Rp 142.400,qoryibulaila,KOTA JAKARTA BARAT,2020-07-14 20:29,2020-07-14 20:29
4012,,,Cat lukis,"Pink,20ml",Rp 5.500,1,,,,,,,
